,term,count
0,senior,111
1,engineer,109
2,manager,42
3,developer,37
4,data,35
5,utvecklare,32
6,projektledare,32
7,project,31
8,business,26
9,lead,25
10,software,23
11,it,22
12,architect,20
13,designer,18
14,net,18
15,embedded,17
16,konsult,16
17,systemingenjör,15
18,systemutvecklare,15
19,c,15
20,system,14
21,analyst,14
22,lösningsarkitekt,14
23,learning,14
24,specialist,14
25,digital,14
26,development,13
27,teknisk,13
28,ai,13
29,expert,13
30,test,12
31,engineering,12
32,solution,12
33,scrum,12
34,master,12
35,machine,12
36,security,12
37,technical,11
38,automation,11
39,försvarsindustrin,11
40,stockholm,11
41,ux,11
42,arkitekt,11
43,servicenow,11
44,product,10
45,consultant,10
46,automotive,9
47,java,9
48,platform,9
49,support,8
50,på,8
51,azure,8
52,elektronikkonstruktör,8
53,devops,8
54,erfaren,8
55,kravanalytiker,8
56,testare,8
57,i,8
58,backend,8
59,kommun,8
60,design,7
61,aws,7
62,scientist,7
63,region,7
64,skåne,7
65,avrop,7
66,android,6
67,konstruktör,6
68,delprojektledare,6
69,power,6
70,r,6
71,application,6
72,management,6
73,change,6
74,mjukvaruutvecklare,6
75,safety,6
76,cloud,6
77,fullstack,6
78,junior,6
79,mechanical,5
80,integration,5
81,hälsomyndigheten,5
82,pega,5
83,nivå,5
84,coach,5
85,transportstyrelsen,5
86,remote,5
87,javautvecklare,5
88,tekniker,5
89,analytics,5
90,react,5
91,migration,5
92,sap,5
93,leader,5
94,skånetrafiken,5
95,sw,4
96,quality,4
97,inriktning,4
98,hw,4
99,systems,4
