,site,job_title,area,work_location,ingestion_ts,link
533,Upgraded,Java-utvecklare,Java-utvecklare,Stockholm/Karlstad,2025-09-16 16:16:55,Upgraded-https://upgraded.se/konsultuppdrag/127815-java-utvecklare-10/
532,Regent,Team på 2-4 penetrationstestare,Uppdrag för 2–4 penetrationstestare att utföra tester och ev. Red Team-insatser.,Stockholm,2025-09-16 16:16:30,https://regent.seRegent-/uppdrag/930
531,Ework,Expert System Engineer,Devops,Stockholm,2025-09-16 16:15:58,https://app.verama.com/sv/job-requests/Ework-71013
530,A Society,Arkitekt till Malmö,IT,Malmö/Lund,2025-09-16 16:15:04,https://www.asocietygroup.com/sv/uppdrag/arkitekt-till-malm-A Society-14177
529,A Society,Senior Mechanical Engineer – Components and Products (Level 3),Engineering,Ludvika,2025-09-16 16:15:04,https://www.asocietygroup.com/sv/uppdrag/senior-mechanical-engineer-components-and-products-level-3-A Society-14176
528,Afry,Senior Engineer R&D - Codes and Standards,"CE MDD - Regulatory Software Engineering and Test Quality Assurance, Test and Validation",Norrbottens län,2025-09-16 16:13:48,https://portal.afry.com/available-assignments/search/c2949f65-d3ac-4663-b33a-e44b4ce86918
527,Regent,Senior System Engineer – DevSecOps & Utvecklingsportaler,Vi söker en Senior System Engineer med expertis inom DevSecOps och CI/CD som vill utveckla en strategisk utvecklingsportal i en komplex och reglerad miljö.,Stockholm,2025-09-16 15:40:50,https://regent.seRegent-/uppdrag/928
526,Regent,En IT Support tekniker nivå 2- ASAP,"ASAP! Vi söker en IT-supporttekniker med erfarenhet av AV, arbetsplatser och Win11 som vill bidra i ett flytt- och utrullningsprojekt. 2 mån med möjlighet till förlängning.",Stockholm,2025-09-16 15:40:50,https://regent.seRegent-/uppdrag/929
525,Ework,Test Engineer,"Test Enginer, Electronics",Huskvarna,2025-09-16 15:40:44,https://app.verama.com/sv/job-requests/Ework-71004
524,Ework,Senior Platform Engineer ,Backstage,Stockholm,2025-09-16 15:40:44,https://app.verama.com/sv/job-requests/Ework-71005
523,Ework,Senior Apputvecklare - Android,"Kotlin, Android",Mölndal,2025-09-16 15:40:44,https://app.verama.com/sv/job-requests/Ework-71007
522,Ework,Electronics Designer,"OrCAD, PTS, design och electronics board",Huskvarna,2025-09-16 15:40:44,https://app.verama.com/sv/job-requests/Ework-71011
521,Ework,Electronics Hardware Engineer,"Emc, Catia Electric, OrCAD Cadence",Huskvarna,2025-09-16 15:40:44,https://app.verama.com/sv/job-requests/Ework-71012
519,A Society,Software Engineer (Mobile Networks),Engineering,Göteborg,2025-09-16 15:40:28,https://www.asocietygroup.com/sv/uppdrag/software-engineer-mobile-networks-A Society-13979
518,A Society,Senior backendutvecklare (.Net) med erfarenhet av mentorskap Arbetsförmedlingen Stockholm 100%,IT,Stockholm,2025-09-16 15:40:28,https://www.asocietygroup.com/sv/uppdrag/senior-backendutvecklare-net-med-erfarenhet-av-mentorskap-arbetsfrmedlingen-stockholm-100-A Society-14175
520,A Society,Technical Procurement Category Leader EU (Europe),IT,Göteborg,2025-09-16 15:40:28,https://www.asocietygroup.com/sv/uppdrag/technical-procurement-category-leader-eu-europe-A Society-14173
517,Afry,Projektledare -Förstudie Industrialisering ny produkt Karlskoga,"Project Management and Management Mechanical Engineering (Product and Machine Design) Process and Production Engineering Supply Chain, Procurement and Technical Documentation",,2025-09-16 15:37:22,https://portal.afry.com/available-assignments/search/46b801ea-3d60-45e6-9bb1-48237b2d1fbe
516,Upgraded,Embedded Software Application Engineer,Software Engineer,"Göteborg, SE",2025-09-16 14:45:27,https://upgraded.se/konsultuppdrag/127742-embedded-software-application-engineer-3/
515,Regent,Senior Projektledare,"Vi söker en senior projektledare som vill leda ett tvärfunktionellt team inom IT och fordonsutveckling. Fokus på leverans, kvalitet och samarbete i en komplex miljö",Stockholm,2025-09-16 14:45:23,https://regent.se/uppdrag/927
514,Ework,Byggprojektledare till förnyelseområde,Se  bifogad beställningsblankett,Stockholm,2025-09-16 14:45:22,https://app.verama.com/sv/job-requests/70988
513,Ework,Konstruktionsbyggnadsunderhåll Norrtälje kommun år 2026-2027,Se  bifogad beställningsblankett,Stockholm,2025-09-16 14:45:22,https://app.verama.com/sv/job-requests/70989
512,Ework,"Besiktningar Järnvägsfordon, komponenter och depåer",Besiktning,"Vasteras, Eskilstuna",2025-09-16 14:45:22,https://app.verama.com/sv/job-requests/70994
511,Ework,Senior systemutvecklare,Java,Stockholm,2025-09-16 14:45:22,https://app.verama.com/sv/job-requests/70996
510,Ework,Marketing and Communications Assistant ,"Canva, Adobe",Gothenburg,2025-09-16 14:45:22,https://app.verama.com/sv/job-requests/70999
509,Combitech,Utvecklare inom C/C++,Information Technology Services,Stockholm,2025-09-16 14:45:18,https://www.combitech.se/karriar/lediga-jobb/utvecklare-inom-cc/
506,A Society,"Två Systemutvecklare till Team Ostron till Lantmäteriet, Gävle, 100% ",IT,Gävle,2025-09-16 14:45:17,https://www.asocietygroup.com/sv/uppdrag/tv-systemutvecklare-till-team-ostron-till-lantmteriet-gvle-100-14171
503,Aliant,HubSpot-konsult,,Göteborg,2025-09-16 14:45:17,https://aliant.recman.page/job/450221
505,A Society,Senior projektledare – Förstudie inom industrialisering och produktionssystem,Engineering,Karlskoga,2025-09-16 14:45:17,https://www.asocietygroup.com/sv/uppdrag/senior-projektledare-frstudie-inom-industrialisering-och-produktionssystem-14168
504,A Society,Senior Bazel-konsult till modernisering av build-infrastruktur,Engineering,Göteborg,2025-09-16 14:45:17,https://www.asocietygroup.com/sv/uppdrag/senior-bazel-konsult-till-modernisering-av-build-infrastruktur-14172
507,A Society,"Projektledare Fastighetssystem till SPSM, Remote, 50-100% ",IT,Stockholm,2025-09-16 14:45:17,https://www.asocietygroup.com/sv/uppdrag/projektledare-fastighetssystem-till-spsm-remote-50-100-14170
508,A Society,Kompositkonstruktör - Nivå 3,Engineering,Göteborg,2025-09-16 14:45:17,https://www.asocietygroup.com/sv/uppdrag/kompositkonstruktr-niv-3-14169
502,Afry,Project Manager – R&D Turbine Development,Project Management and Management,Östergötlands län,2025-09-16 14:37:55,https://portal.afry.com/available-assignments/search/4d5df8b1-4dda-431e-a9a6-1154e16aae5d
501,Ework,Software Engineer,"XML, WPF, C#",Vasteras,2025-09-16 11:57:14,https://app.verama.com/sv/job-requests/70985
500,Upgraded,Digital Project Manager & Business Architect,Project Manager,Boden,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127695-digital-project-manager-business-architect-2/
499,Upgraded,Software Engineer,Software Engineer,"Göteborg, SE",2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127696-software-engineer-119/
498,Upgraded,Solution Architect,Solution Architect,Boden,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127703-solution-architect-19/
497,Upgraded,System Engineer,Systemingenjör,Stockholm,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127731-system-engineer-14/
496,Upgraded,BI Specialist,BI-specialist,"Copenhagen, DK",2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127738-bi-specialist-4/
495,Nikita,Kategoriansvarig strategiskt tekniskt inköp,,,2025-09-16 11:40:10,https://www.nikita.se/lediga-uppdrag/kategoriansvarig-strategiskt-tekniskt-inkop/
494,Nikita,Senior projektledare,,,2025-09-16 11:40:10,https://www.nikita.se/lediga-uppdrag/senior-projektledare-19/
490,Ework,Mechanical Engineering - 2-stroke engine development ,"Aluminum, PLM Teamcenter, steel, Smartteam, CatiaV5",Huskvarna,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70983
493,Ework,Fullstack Data Engineer ,"DBT-ramverk, SQLServer, Azure Databricks",Stockholm-Arlanda,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70978
492,Ework,Senior Fullstack Developer,"AWS, React, Java 11, Typescript, Microservices, Spring Boot, Javascript",Gothenburg,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70979
491,Ework,Mandarin speaking Program Manager,"Manufacturing, Program Manager",Gothenburg,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70982
489,A Society,Fullstack Developer,IT,Södertälje,2025-09-16 11:01:55,https://www.asocietygroup.com/sv/uppdrag/fullstack-developer-14167
488,Upgraded,Senior Data Scientist,Data Scientist,Stockholm,2025-09-16 09:49:17,https://upgraded.se/konsultuppdrag/127648-senior-data-scientist-5/
