,term,count
0,engineer,80
1,senior,77
2,inom,34
3,manager,32
4,till,32
5,och,26
6,data,26
7,project,25
8,projektledare,24
9,developer,22
10,utvecklare,21
11,business,20
12,lead,16
13,architect,15
14,and,14
15,för,14
16,systemingenjör,13
17,it,13
18,med,12
19,software,12
20,machine,12
21,learning,12
22,digital,12
23,embedded,11
24,lösningsarkitekt,11
25,konsult,11
26,specialist,11
27,expert,11
28,system,10
29,designer,10
30,automation,10
31,engineering,10
32,ai,10
33,teknisk,9
34,product,9
35,analyst,9
36,net,9
37,av,9
38,development,8
39,test,8
40,technical,8
41,försvarsindustrin,8
42,stockholm,8
43,systemutvecklare,8
44,scrum,8
45,master,8
46,elektronikkonstruktör,8
47,consultant,8
48,i,8
49,devops,7
50,arkitekt,7
51,scientist,7
52,automotive,6
53,java,6
54,support,6
55,design,6
56,c,6
57,azure,6
58,solution,6
59,erfaren,6
60,platform,6
61,fullstack,6
62,region,6
63,skåne,6
64,avrop,6
65,konstruktör,5
66,delprojektledare,5
67,på,5
68,power,5
69,aws,5
70,application,5
71,management,5
72,pega,5
73,mjukvaruutvecklare,5
74,kravanalytiker,5
75,testare,5
76,coach,5
77,safety,5
78,security,5
79,analytics,5
80,backend,5
81,kommun,5
82,servicenow,5
83,android,4
84,mechanical,4
85,sw,4
86,inriktning,4
87,hw,4
88,systems,4
89,principal,4
90,integration,4
91,r,4
92,ny,4
93,e,4
94,hälsomyndigheten,4
95,kalmar,4
96,konsultuppdrag,4
97,transportstyrelsen,4
98,for,4
99,cloud,4
