,site,job_title,work_location,ingestion_ts,link
501,Ework,Software Engineer,Vasteras,2025-09-16 11:57:14,https://app.verama.com/sv/job-requests/70985
500,Upgraded,Digital Project Manager & Business Architect,Boden,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127695-digital-project-manager-business-architect-2/
499,Upgraded,Software Engineer,"Göteborg, SE",2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127696-software-engineer-119/
498,Upgraded,Solution Architect,Boden,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127703-solution-architect-19/
497,Upgraded,System Engineer,Stockholm,2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127731-system-engineer-14/
496,Upgraded,BI Specialist,"Copenhagen, DK",2025-09-16 11:49:07,https://upgraded.se/konsultuppdrag/127738-bi-specialist-4/
495,Nikita,Kategoriansvarig strategiskt tekniskt inköp,,2025-09-16 11:40:10,https://www.nikita.se/lediga-uppdrag/kategoriansvarig-strategiskt-tekniskt-inkop/
494,Nikita,Senior projektledare,,2025-09-16 11:40:10,https://www.nikita.se/lediga-uppdrag/senior-projektledare-19/
491,Ework,Mandarin speaking Program Manager,Gothenburg,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70982
490,Ework,Mechanical Engineering - 2-stroke engine development ,Huskvarna,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70983
492,Ework,Senior Fullstack Developer,Gothenburg,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70979
493,Ework,Fullstack Data Engineer ,Stockholm-Arlanda,2025-09-16 11:11:10,https://app.verama.com/sv/job-requests/70978
489,A Society,Fullstack Developer,Södertälje,2025-09-16 11:01:55,https://www.asocietygroup.com/sv/uppdrag/fullstack-developer-14167
488,Upgraded,Senior Data Scientist,Stockholm,2025-09-16 09:49:17,https://upgraded.se/konsultuppdrag/127648-senior-data-scientist-5/
487,Upgraded,RTE/Agil coach,Stockholm,2025-09-16 09:49:17,https://upgraded.se/konsultuppdrag/127656-rte-agil-coach/
486,Upgraded,Digital Project Manager & Business Architect,Stockholm,2025-09-16 09:49:17,https://upgraded.se/konsultuppdrag/127660-digital-project-manager-business-architect/
485,Upgraded,Utvecklare,Örebro,2025-09-16 09:49:17,https://upgraded.se/konsultuppdrag/127664-utvecklare-4/
481,Ework,Lösningsarkitekt,Lulea,2025-09-16 09:49:04,https://app.verama.com/sv/job-requests/70968
478,Ework,Uppdrag inom säkerhets- och beredskapsområdet,Sundsvall,2025-09-16 09:49:04,https://app.verama.com/sv/job-requests/70974
480,Ework,Integrationsspecialist,Stockholm,2025-09-16 09:49:04,https://app.verama.com/sv/job-requests/70970
